Institute,Academic Program Name,Quota,Seat Type,Gender,Opening Rank,Closing Rank,Round
Indian Institute  of Technology Bombay,"Chemical Engineering (4 Years, Bachelor of Technology)",AI,SC (PwD),Gender-Neutral,9,9,1
Indian Institute  of Technology Bombay,"Chemical Engineering (4 Years, Bachelor of Technology)",AI,ST,Gender-Neutral,308,460,1
Indian Institute  of Technology Bombay,"Chemical Engineering (4 Years, Bachelor of Technology)",AI,ST,Female-only (including Supernumerary),523,649,1
Indian Institute  of Technology Bombay,"Chemistry (4 Years, Bachelor of Science)",AI,OPEN,Gender-Neutral,335,6647,1
Indian Institute  of Technology Bombay,"Chemistry (4 Years, Bachelor of Science)",AI,OPEN,Female-only (including Supernumerary),9368,10435,1
Indian Institute  of Technology Bombay,"Chemistry (4 Years, Bachelor of Science)",AI,EWS,Gender-Neutral,986,1353,1
Indian Institute  of Technology Bombay,"Chemistry (4 Years, Bachelor of Science)",AI,EWS,Female-only (including Supernumerary),2621,2621,1
Indian Institute  of Technology Bombay,"Chemistry (4 Years, Bachelor of Science)",AI,OBC-NCL,Gender-Neutral,2548,3367,1
Indian Institute  of Technology Bombay,"Chemistry (4 Years, Bachelor of Science)",AI,OBC-NCL,Female-only (including Supernumerary),6467,6573,1
Indian Institute  of Technology Bombay,"Chemistry (4 Years, Bachelor of Science)",AI,SC,Gender-Neutral,1436,1810,1
Indian Institute  of Technology Bombay,"Chemistry (4 Years, Bachelor of Science)",AI,SC,Female-only (including Supernumerary),719,719,1
Indian Institute  of Technology Bombay,"Chemistry (4 Years, Bachelor of Science)",AI,ST,Gender-Neutral,910,1017,1
Indian Institute  of Technology Bombay,"Chemistry (4 Years, Bachelor of Science)",AI,ST,Female-only (including Supernumerary),1540,1540,1
Indian Institute  of Technology Bombay,"Civil Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Gender-Neutral,2666,4095,1
Indian Institute  of Technology Bombay,"Civil Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Female-only (including Supernumerary),6085,8597,1
Indian Institute  of Technology Bombay,"Civil Engineering (4 Years, Bachelor of Technology)",AI,OPEN (PwD),Gender-Neutral,62,179,1
Indian Institute  of Technology Bombay,"Civil Engineering (4 Years, Bachelor of Technology)",AI,EWS,Gender-Neutral,522,725,1
Indian Institute  of Technology Bombay,"Civil Engineering (4 Years, Bachelor of Technology)",AI,EWS,Female-only (including Supernumerary),1442,1643,1
Indian Institute  of Technology Bombay,"Civil Engineering (4 Years, Bachelor of Technology)",AI,EWS (PwD),Gender-Neutral,10P,10P,1
Indian Institute  of Technology Bombay,"Civil Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL,Gender-Neutral,973,1783,1
Indian Institute  of Technology Bombay,"Civil Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL,Female-only (including Supernumerary),2873,4549,1
